,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,huilong,31.81,121.66,66.0,89,99,11.68,CN,1603896408
159,bom jesus da lapa,-13.26,-43.42,90.7,42,70,5.48,BR,1603896408
160,sao joao da barra,-21.64,-41.05,87.8,58,20,4.7,BR,1603896408
161,ashbourne,53.51,-6.43,48.0,81,40,11.41,IE,1603896408
162,srednekolymsk,67.45,153.68,4.73,94,75,5.14,RU,1603896408
163,mount gambier,-37.83,140.77,44.6,100,63,8.05,AU,1603896409
164,evensk,61.95,159.23,23.88,81,0,5.46,RU,1603896409
165,hobyo,5.35,48.53,80.94,73,1,8.43,SO,1603896409
166,kommunar,59.62,30.39,50.0,76,75,4.47,RU,1603896409
167,manuk mangkaw,4.8,119.85,83.53,82,95,9.28,PH,1603896409
168,handlova,48.73,18.76,62.6,63,40,6.93,SK,1603896409
169,atambua,-9.11,124.89,76.17,84,67,3.65,ID,1603896410
170,henties bay,-22.12,14.28,63.25,65,1,10.42,NA,1603896410
171,chuy,-33.7,-53.46,68.4,86,99,6.96,UY,1603896410
172,nikolskoye,59.7,30.79,50.0,76,75,4.47,RU,1603896410
173,saint george,37.1,-113.58,42.8,28,1,5.82,US,1603896410
174,mount hagen,-5.86,144.23,58.19,92,79,2.66,PG,1603896410
175,mar del plata,-38.0,-57.56,64.99,67,90,11.41,AR,1603896375
176,ixtepec,16.58,-95.1,83.77,67,61,4.12,MX,1603896410
177,san antonio,29.42,-98.49,45.0,75,75,11.41,US,1603896130
178,booue,-0.09,11.94,73.42,93,100,1.52,GA,1603896410
179,brindisi,40.58,17.67,66.2,77,20,17.22,IT,1603896411
180,rio grande,-32.03,-52.1,69.01,90,89,5.99,BR,1603896308
181,baykit,61.67,96.37,22.78,94,100,14.97,RU,1603896411
182,huarmey,-10.07,-78.15,68.94,68,83,11.12,PE,1603896411
183,nizwa,22.93,57.53,74.08,23,0,5.03,OM,1603896411
184,tuatapere,-46.13,167.68,46.0,90,98,3.0,NZ,1603896411
185,matara,5.95,80.54,79.16,84,98,7.58,LK,1603896411
186,riyadh,24.69,46.72,84.2,17,0,4.7,SA,1603896411
187,san jose,37.34,-121.89,55.99,39,1,5.82,US,1603896113
188,katsuura,35.13,140.3,66.99,72,75,8.05,JP,1603896412
189,watertown,42.37,-71.18,48.2,87,90,6.93,US,1603896412
190,piotrkow trybunalski,51.41,19.7,57.0,10,55,55.99,PL,1603896412
191,umtata,-31.59,28.78,80.6,57,0,13.87,ZA,1603896412
192,ust-kulom,61.69,53.69,34.92,94,100,6.71,RU,1603896412
193,kanniyakumari,8.08,77.57,80.83,81,39,6.24,IN,1603896412
194,sistranda,63.73,8.83,46.4,70,40,13.87,NO,1603896412
195,mama,58.31,112.9,15.37,91,53,3.71,RU,1603896412
196,chernyshevskiy,63.01,112.47,8.1,96,72,6.76,RU,1603896412
197,adeje,28.12,-16.73,75.2,53,40,17.22,ES,1603896413
198,nishihara,26.18,127.76,75.2,78,20,4.7,JP,1603896413
199,odesskoye,54.21,72.97,27.07,95,96,11.97,RU,1603896413
200,synevyr,48.49,23.63,43.0,87,90,7.0,UA,1603896413
201,nemuro,43.32,145.57,52.27,72,73,16.28,JP,1603896413
202,yuancheng,36.65,107.79,44.64,65,0,6.17,CN,1603896413
203,vostok,46.49,135.88,26.53,100,67,2.01,RU,1603896413
204,cidreira,-30.18,-50.21,68.79,78,97,14.97,BR,1603896413
205,tuktoyaktuk,69.45,-133.04,15.8,92,90,14.99,CA,1603896413
206,marzuq,14.4,46.47,73.56,19,0,7.76,YE,1603896413
207,pochutla,15.74,-96.47,80.01,78,5,0.78,MX,1603896413
208,monrovia,6.3,-10.8,89.6,66,75,5.82,LR,1603896410
209,carnarvon,-24.87,113.63,71.6,88,0,23.04,AU,1603896413
210,walvis bay,-22.96,14.51,64.4,68,12,11.41,NA,1603896414
211,puteyets,65.17,57.09,36.93,96,100,12.06,RU,1603896414
212,lake havasu city,34.48,-114.32,52.0,20,1,3.36,US,1603896414
213,linxia,35.6,103.21,38.57,76,0,0.67,CN,1603896279
214,acapulco,16.86,-99.89,78.8,88,75,5.82,MX,1603896147
215,mahebourg,-20.41,57.7,75.0,71,97,5.99,MU,1603896414
216,lagoa,39.05,-27.98,63.39,70,3,10.83,PT,1603896414
217,moerai,-22.43,-151.33,77.29,85,100,24.05,PF,1603896415
218,vestmannaeyjar,63.44,-20.27,44.74,70,93,23.67,IS,1603896415
219,eregli,37.51,34.05,64.85,29,22,4.59,TR,1603896415
220,georgetown,5.41,100.34,82.4,78,20,6.17,MY,1603896311
221,kruisfontein,-34.0,24.73,69.01,74,97,7.0,ZA,1603896415
222,znamensk,48.58,45.73,45.1,55,43,14.38,RU,1603896415
223,seoul,37.57,126.98,51.8,39,1,9.04,KR,1603896341
224,torbay,47.67,-52.73,39.99,86,75,11.41,CA,1603896188
225,olafsvik,64.89,-23.71,41.67,67,0,21.0,IS,1603896415
226,lichinga,-13.31,35.24,69.93,63,93,3.24,MZ,1603896415
227,grindavik,63.84,-22.43,42.8,56,0,21.92,IS,1603896415
228,yuncheng,35.02,110.99,51.13,85,64,3.42,CN,1603896416
229,walla walla,46.06,-118.34,48.0,79,0,4.0,US,1603896416
230,ingham,42.6,-84.38,41.0,80,1,6.93,US,1603896416
231,erenhot,43.65,111.98,42.39,47,100,7.61,CN,1603896416
232,kawalu,-7.38,108.21,72.93,92,99,1.39,ID,1603896416
233,pimentel,-6.84,-79.93,68.0,72,40,13.87,PE,1603896416
234,cabedelo,-6.98,-34.83,86.0,55,75,11.41,BR,1603896416
235,magdagachi,53.45,125.8,19.13,96,47,5.23,RU,1603896416
236,kletskaya,49.31,43.06,45.0,41,81,4.0,RU,1603896416
237,abu samrah,35.3,37.18,75.85,28,68,3.56,SY,1603896416
238,bonthe,7.53,-12.51,86.4,64,92,11.25,SL,1603896417
239,lang son,21.83,106.73,70.5,87,100,9.37,VN,1603896417
240,alamosa,37.47,-105.87,15.8,92,20,6.98,US,1603896417
241,elkhart,41.58,-85.83,41.0,76,0,3.0,US,1603896393
242,ongandjera,-17.88,15.07,100.04,10,37,4.92,NA,1603896417
243,saldanha,-33.01,17.94,61.59,69,100,14.47,ZA,1603896417
244,chumikan,54.72,135.31,35.69,95,100,10.6,RU,1603896417
245,valmiera,57.54,25.43,48.0,92,100,1.01,LV,1603896369
246,ahipara,-35.17,173.17,59.67,89,32,3.11,NZ,1603896417
247,puerto carreno,6.19,-67.49,86.31,67,100,9.48,CO,1603896417
248,victoria,22.29,114.16,73.99,86,100,3.0,HK,1603896418
249,lagos,6.58,3.75,87.8,70,75,4.7,NG,1603896164
250,hofu,34.05,131.57,55.99,77,2,5.08,JP,1603896418
251,belem de sao francisco,-8.75,-38.97,95.49,32,56,7.9,BR,1603896418
252,esmeralda,21.85,-78.12,84.87,72,18,14.63,CU,1603896418
253,sesori,13.72,-88.37,81.9,75,90,0.72,SV,1603896418
254,zambezi,-13.54,23.1,90.66,25,79,7.31,ZM,1603896418
255,suntar,62.14,117.63,12.92,91,35,3.91,RU,1603896418
256,lavrentiya,65.58,-171.0,24.85,88,0,6.87,RU,1603896418
257,portland,45.52,-122.68,42.01,93,90,1.43,US,1603896196
258,richards bay,-28.78,32.04,84.36,56,0,16.53,ZA,1603896419
259,saint-marc,19.11,-72.69,83.82,67,13,0.69,HT,1603896419
260,namibe,-15.2,12.15,72.99,77,81,12.19,AO,1603896419
261,algiers,36.75,3.04,71.6,56,0,10.29,DZ,1603896419
262,necochea,-38.55,-58.74,62.01,60,100,1.99,AR,1603896419
263,dawei,14.08,98.2,76.62,87,100,2.62,MM,1603896419
264,castro,-24.79,-50.01,78.39,35,0,9.46,BR,1603896300
265,esmeraldas,-19.76,-44.31,87.8,45,75,10.29,BR,1603896419
266,airai,-8.93,125.41,61.65,99,70,2.3,TL,1603896420
267,mangrol,21.12,70.12,81.7,62,0,9.75,IN,1603896420
268,komsomolskiy,40.43,71.72,46.4,36,99,4.7,UZ,1603896420
269,porto walter,-8.27,-72.74,92.98,47,97,5.3,BR,1603896420
270,ulaanbaatar,47.91,106.88,24.8,53,0,4.47,MN,1603896420
271,hauge,58.34,6.28,52.0,83,100,18.59,NO,1603896420
272,nuevo progreso,23.17,-97.95,57.99,58,58,5.99,MX,1603896368
273,doha,25.29,51.53,86.0,51,20,11.41,QA,1603896370
274,puerto narino,-3.77,-70.38,94.24,51,83,1.45,CO,1603896421
275,roma,43.21,-75.46,45.0,93,90,3.76,US,1603896125
276,touros,-5.2,-35.46,86.0,62,75,19.46,BR,1603896421
277,praia da vitoria,38.73,-27.07,69.01,64,75,11.74,PT,1603896421
278,auki,-8.77,160.7,78.55,85,96,4.16,SB,1603896421
279,summerside,46.4,-63.79,39.0,70,99,1.99,CA,1603896421
280,yulara,-25.24,130.99,73.4,16,0,6.93,AU,1603896421
281,kaabong,3.48,34.15,75.15,53,43,16.13,UG,1603896421
282,elk river,45.3,-93.57,34.0,81,31,11.25,US,1603896396
283,sembe,1.65,14.58,81.99,73,87,1.07,CG,1603896422
284,lasa,46.62,10.7,59.0,54,0,5.82,IT,1603896422
285,grafton,42.21,-71.69,44.01,93,90,5.82,US,1603896422
286,brownwood,31.71,-98.99,35.6,83,90,12.5,US,1603896422
287,icatu,-2.78,-44.07,89.6,59,75,16.11,BR,1603896422
288,sao filipe,14.9,-24.5,82.85,66,100,9.6,CV,1603896422
289,waycross,31.21,-82.35,78.01,83,90,8.01,US,1603896422
290,copiapo,-27.37,-70.33,77.76,27,0,9.06,CL,1603896270
291,agirish,61.92,63.02,29.77,99,100,7.96,RU,1603896423
292,rexburg,43.83,-111.79,19.4,85,1,4.7,US,1603896423
293,deer lake,49.17,-57.43,33.8,69,40,9.17,CA,1603896423
294,le mans,48.0,0.2,59.0,67,90,13.87,FR,1603896423
295,rupert,42.62,-113.68,39.0,57,0,5.99,US,1603896423
296,muros,42.78,-9.06,63.0,72,93,8.01,ES,1603896423
297,ponta delgada,37.73,-25.67,66.2,59,75,6.93,PT,1603896395
298,dubna,56.73,37.17,45.45,78,60,8.25,RU,1603896424
299,ko samui,9.54,99.94,83.3,74,100,14.25,TH,1603896424
300,san rafael,-34.62,-68.33,61.23,32,0,5.01,AR,1603896424
301,iqaluit,63.75,-68.51,17.6,67,90,11.41,CA,1603896424
302,nhulunbuy,-12.23,136.77,78.8,83,4,3.36,AU,1603896424
303,zanjan,36.67,48.48,66.2,22,0,4.7,IR,1603896145
304,alamor,-4.02,-80.02,78.8,73,20,4.7,EC,1603896424
305,karratha,-20.74,116.85,70.79,90,0,4.05,AU,1603896379
306,shasta lake,40.68,-122.37,53.01,36,0,1.01,US,1603896424
307,nongstoin,25.52,91.27,62.24,94,0,3.58,IN,1603896424
308,south river,40.45,-74.39,55.0,95,100,4.27,US,1603896424
309,kirovskiy,45.09,133.51,34.32,84,49,5.06,RU,1603896425
310,chittaurgarh,24.88,74.63,72.9,25,0,1.57,IN,1603896425
311,marawi,8.0,124.29,75.0,88,51,18.99,PH,1603896425
312,camacari,-12.7,-38.32,86.0,70,40,18.34,BR,1603896425
313,krasnik,50.92,22.23,57.0,100,90,5.82,PL,1603896425
314,palmer,42.16,-72.33,46.0,93,90,3.36,US,1603896425
315,xuddur,4.12,43.89,78.73,70,97,7.94,SO,1603896425
316,kanungu,-0.96,29.79,70.2,84,63,2.42,UG,1603896425
317,santa isabel do rio negro,-0.41,-65.02,95.56,50,79,2.53,BR,1603896426
318,inhambane,-23.86,35.38,76.98,74,0,11.74,MZ,1603896426
319,hoddesdon,51.76,-0.01,54.0,76,100,12.75,GB,1603896426
320,dingle,11.0,122.67,77.47,85,93,3.29,PH,1603896426
321,kavaratti,10.57,72.64,82.29,75,1,6.46,IN,1603896426
322,lewistown,40.6,-77.57,51.01,100,90,4.16,US,1603896426
323,camacha,33.08,-16.33,69.8,68,20,10.29,PT,1603896426
324,turukhansk,65.82,87.98,11.53,91,100,15.86,RU,1603896426
325,leshukonskoye,64.9,45.76,42.62,93,100,13.58,RU,1603896426
326,carutapera,-1.2,-46.02,89.28,56,50,10.76,BR,1603896426
327,grand gaube,-20.01,57.66,75.0,71,97,5.99,MU,1603896427
328,miles city,46.41,-105.84,37.0,81,49,4.0,US,1603896427
329,sinnai,39.3,9.2,68.0,49,20,17.22,IT,1603896427
330,koslan,63.46,48.9,39.99,94,100,12.15,RU,1603896427
331,terracina,41.29,13.22,68.0,45,0,9.17,IT,1603896427
332,tebingtinggi,3.33,99.16,82.4,94,40,3.36,ID,1603896427
333,penzance,50.12,-5.54,50.0,93,20,19.46,GB,1603896427
334,urumqi,43.8,87.6,48.2,42,0,6.71,CN,1603896427
335,pontalina,-17.52,-49.45,80.49,72,31,15.73,BR,1603896427
336,melilla,35.29,-2.94,69.8,52,20,6.93,ES,1603896427
337,nanortalik,60.14,-45.24,32.36,96,100,11.18,GL,1603896427
338,skibotn,69.39,20.27,35.6,81,0,2.24,NO,1603896428
339,el bagre,7.59,-74.81,87.13,66,66,1.25,CO,1603896428
340,ibra,22.69,58.53,71.24,29,0,4.21,OM,1603896428
341,asau,46.43,26.4,54.0,85,16,2.48,RO,1603896428
342,tigil,57.8,158.67,31.82,93,0,4.94,RU,1603896428
343,macheng,31.18,115.03,61.95,77,96,2.86,CN,1603896428
344,chhagalnaiya,23.03,91.51,77.36,83,0,2.89,BD,1603896428
345,zyryanka,65.75,150.85,3.49,91,97,0.74,RU,1603896428
346,eschwege,51.18,10.07,55.99,84,59,4.0,DE,1603896428
347,faanui,-16.48,-151.75,80.06,79,80,18.1,PF,1603896429
348,aklavik,68.22,-135.01,12.2,85,90,5.82,CA,1603896130
349,rayagada,19.17,83.42,72.12,66,1,2.59,IN,1603896429
350,wiener neudorf,48.08,16.32,61.0,67,0,3.36,AT,1603896337
351,maua,-23.67,-46.46,84.2,32,0,13.87,BR,1603896211
352,norman wells,65.28,-126.83,12.2,92,90,2.24,CA,1603896429
353,ostersund,63.18,14.64,43.0,81,90,11.41,SE,1603896429
354,brigantine,39.41,-74.36,64.99,88,90,8.05,US,1603896429
355,cayenne,4.93,-52.33,89.6,59,20,10.29,GF,1603896429
356,mehamn,71.04,27.85,39.2,80,40,16.11,NO,1603896429
357,dongzhen,22.38,110.94,70.12,88,98,6.02,CN,1603896429
358,la ronge,55.1,-105.28,21.2,85,90,4.7,CA,1603896430
359,port-cartier,50.03,-66.87,27.0,92,75,7.36,CA,1603896430
360,sibolga,1.74,98.78,78.04,77,100,2.24,ID,1603896430
361,ilulissat,69.22,-51.1,17.6,48,75,8.05,GL,1603896430
362,trinidad,-14.83,-64.9,94.01,44,71,10.22,BO,1603896345
363,fortuna,40.6,-124.16,44.6,70,1,6.93,US,1603896430
364,vila,42.03,-8.16,57.99,79,98,5.99,PT,1603896430
365,mumford,5.26,-0.76,80.58,81,51,13.49,GH,1603896430
366,carbonia,39.17,8.52,68.0,59,40,13.87,IT,1603896431
367,naduvattam,11.48,76.57,54.46,100,9,2.57,IN,1603896431
368,hauterive,46.09,3.45,59.0,62,75,17.22,FR,1603896431
369,pingliang,35.54,106.69,43.07,77,0,3.89,CN,1603896431
370,mahajanga,-15.72,46.32,84.2,70,20,11.41,MG,1603896431
371,lompoc,34.64,-120.46,48.2,49,1,9.17,US,1603896408
372,oranjemund,-28.55,16.43,63.09,68,83,14.41,NA,1603896431
373,kununurra,-15.77,128.73,80.6,83,66,1.12,AU,1603896431
374,cap malheureux,-19.98,57.61,75.0,71,96,5.99,MU,1603896431
375,yeppoon,-23.13,150.73,64.4,93,40,5.64,AU,1603896431
376,ust-karsk,52.7,118.81,25.3,83,0,1.99,RU,1603896431
377,lobito,-12.35,13.55,78.96,74,0,8.75,AO,1603896431
378,luderitz,-26.65,15.16,64.09,63,19,21.0,NA,1603896432
379,northam,51.03,-4.22,53.01,80,100,17.0,GB,1603896432
380,ler,8.3,30.14,86.68,55,23,3.74,SS,1603896432
381,qaqortoq,60.72,-46.03,30.2,80,75,3.29,GL,1603896432
382,hammerfest,70.66,23.68,35.6,100,75,5.82,NO,1603896432
383,westport,41.14,-73.36,50.0,93,90,9.17,US,1603896432
384,alyangula,-13.85,136.42,78.8,83,75,4.7,AU,1603896432
385,bow island,49.87,-111.37,37.4,86,90,10.29,CA,1603896302
386,culfa,38.96,45.63,64.4,42,20,4.7,AZ,1603896432
